날짜,시가,고가,저가,종가,거래량,등락률
2022-07-01,33600,34300,31500,31650,325625,-6.083086053412463
2022-07-04,31650,32350,30450,31150,194712,-1.579778830963665
2022-07-05,31200,33300,31200,32950,196275,5.778491171749598
2022-07-06,32950,33250,32150,32150,123184,-2.4279210925644916
2022-07-07,32500,32800,31800,32450,111142,0.9331259720062209
2022-07-08,32750,33600,32350,32650,130203,0.6163328197226503
2022-07-11,32900,33750,32500,33200,121001,1.6845329249617151
2022-07-12,32850,33000,32200,32400,117351,-2.4096385542168677
2022-07-13,32100,34000,32100,33450,149658,3.2407407407407405
2022-07-14,33200,33400,32450,32750,109654,-2.092675635276532
2022-07-15,33400,34350,33050,33550,183919,2.4427480916030535
2022-07-18,34250,34800,33350,33900,107171,1.0432190760059614
2022-07-19,33500,34850,33350,34700,135514,2.359882005899705
2022-07-20,35300,38450,34300,38150,448456,9.94236311239193
2022-07-21,38200,38450,36300,36650,280776,-3.9318479685452163
2022-07-22,36400,36850,35000,35000,205508,-4.502046384720328
2022-07-25,34650,35450,34000,35150,168429,0.4285714285714286
2022-07-26,35050,35900,34500,34950,98438,-0.5689900426742532
2022-07-27,34750,36200,34700,35600,116545,1.859799713876967
2022-07-28,36350,36350,35350,35600,73925,0.0
2022-07-29,35700,36000,34750,34950,120478,-1.8258426966292134
2022-08-01,34800,34950,34250,34650,69254,-0.8583690987124464
2022-08-02,34450,35100,34450,34600,67177,-0.1443001443001443
2022-08-03,34500,37900,34500,34950,192831,1.0115606936416186
2022-08-04,35200,37000,35000,36400,184659,4.148783977110158
2022-08-05,36300,37050,36150,36750,96782,0.9615384615384616
2022-08-08,36750,37350,36400,36600,64823,-0.40816326530612246
2022-08-09,36600,37350,36200,36950,74691,0.9562841530054645
2022-08-10,36650,37300,36000,36000,75740,-2.571041948579161
2022-08-11,36500,39500,36450,38900,417526,8.055555555555555
2022-08-12,38650,39900,38000,38700,157385,-0.5141388174807198
2022-08-16,38650,39000,37800,38050,83806,-1.6795865633074936
2022-08-17,38100,38100,36550,36850,126123,-3.1537450722733245
2022-08-18,36500,37400,36000,36700,85984,-0.40705563093622793
