날짜,시가,고가,저가,종가,거래량,등락률
2022-07-01,13643,13738,12671,12901,2160481,-5.452546720410407
2022-07-04,13071,13281,12462,12844,1279436,-0.4418262150220913
2022-07-05,12863,13797,12748,13797,1722724,7.419806913734039
2022-07-06,13624,13890,13338,13396,968581,-2.906428933826194
2022-07-07,13605,13758,13358,13416,543377,0.1492982979994028
2022-07-08,13662,13966,13605,13606,791949,1.4162194394752534
2022-07-11,13720,13739,13263,13283,651346,-2.3739526679406144
2022-07-12,13053,13110,12728,12863,919597,-3.1619363095686213
2022-07-13,12766,13318,12537,13129,1500440,2.06794682422452
2022-07-14,14481,15205,14062,14425,11271511,9.871277325005714
2022-07-15,14312,15703,14292,15246,8234311,5.691507798960139
2022-07-18,15320,15378,14483,15055,3359756,-1.2527876164239802
2022-07-19,14882,17150,14805,16865,9092218,12.022583859182996
2022-07-20,17037,18389,16922,17247,7784683,2.2650459531574265
2022-07-21,17302,17569,16616,16922,4653550,-1.8843856902649736
2022-07-22,17207,18141,17150,17589,6940737,3.941614466375133
2022-07-25,17475,18161,17475,17647,3212354,0.3297515492637444
2022-07-26,17550,17589,16541,17075,4555418,-3.2413441378137926
2022-07-27,16998,17455,16597,17418,1992804,2.0087847730600297
2022-07-28,17759,18026,16998,17265,3237175,-0.878401653461936
2022-07-29,17339,17492,16863,17017,2242493,-1.436432088039386
2022-08-01,17017,17607,16826,17494,2801792,2.803079273667509
2022-08-02,17722,18046,17455,17704,3113635,1.2004115696810334
2022-08-03,17721,18922,17703,18847,11287989,6.456168097605061
2022-08-04,18884,20008,18675,19514,7165303,3.5390247784793334
2022-08-05,19857,22677,19724,21897,18595588,12.211745413549247
2022-08-08,21935,22715,21476,21935,5706794,0.1735397543042426
2022-08-09,22181,23438,21934,22868,7442601,4.253476179621609
2022-08-10,22810,23439,22505,22697,4378643,-0.7477698093405633
2022-08-11,23230,23363,22086,22678,4293767,-0.08371150372295898
2022-08-12,22677,22677,21610,21649,4024385,-4.537437163771055
2022-08-16,22010,22621,21762,22526,3742979,4.05099542704051
2022-08-17,22543,22753,22239,22449,2393040,-0.3418272218769422
2022-08-18,22239,23325,22086,23078,3737872,2.801906543721324
2022-08-19,23325,23343,21952,22049,3492251,-4.458791923043591
2022-08-22,21400,22124,21362,21572,2485306,-2.163363417842079
2022-08-23,21572,21781,20714,21020,3197517,-2.558872612646023
2022-08-24,21324,21648,20466,21325,3693872,1.450999048525214
2022-08-25,21418,21818,21076,21610,1990332,1.3364595545134816
2022-08-26,21647,21781,20733,20753,2959337,-3.965756594169366
2022-08-29,19837,20580,19742,20276,2840425,-2.298462872837662
2022-08-30,20484,21266,20217,20676,3294075,1.9727756954034326
2022-08-31,20581,21972,20486,21897,4884921,5.905397562391179
2022-09-01,21667,22296,21248,21382,2921474,-2.3519203543864458
2022-09-02,21706,21934,20886,21192,2586822,-0.8885978860723974
2022-09-05,21191,21496,20638,20830,1981912,-1.7081917704794263
2022-09-06,20905,21457,20562,20963,2086456,0.6385021603456553
2022-09-07,21095,23192,20848,22945,8640648,9.454753613509517
2022-09-08,23210,24563,22867,23764,7890440,3.569405099150141
2022-09-13,24392,24831,23820,23917,4413036,0.6438310048813332
2022-09-14,23211,26183,23211,25613,8611102,7.091190366684785
2022-09-15,25917,28432,25840,27728,10559478,8.25752547534455
2022-09-16,28013,28490,26299,26871,8163594,-3.090738603577611
2022-09-19,27155,27612,24850,25022,6469575,-6.88102415243199
2022-09-20,25535,25707,24696,24793,3267633,-0.9151946287267204
2022-09-21,24716,25593,24392,25346,3001421,2.230468277336345
2022-09-22,25249,26774,25077,26622,4186634,5.034324942791762
2022-09-23,26487,27079,25154,25498,3795817,-4.222071970550672
2022-09-26,24487,24926,23630,24012,5147453,-5.827908071221272
2022-09-27,24260,24527,23021,24527,4971020,2.1447609528569047
2022-09-28,24431,24679,22792,22793,4711204,-7.069759856484691
2022-09-29,23420,23629,21838,21877,3660208,-4.018777694906331
2022-09-30,21362,22581,21324,22049,4195890,0.7862138318782284
2022-10-04,22467,22734,21915,22354,2680195,1.3832826885573042
2022-10-05,23039,23268,21477,21649,3160989,-3.153797977990516
2022-10-06,21838,23287,21820,23231,3244203,7.3074968820730755
2022-10-07,22867,23495,22600,22906,2556079,-1.3989927252378287
2022-10-11,22221,22849,22030,22431,2038970,-2.073692482319043
2022-10-12,22563,23592,22563,23307,2603178,3.9053096161562126
2022-10-13,23343,23877,22963,23535,2546803,0.978246878620157
2022-10-14,24258,25459,23877,25136,4015476,6.802634374336095
2022-10-17,24831,27538,24736,27538,5450928,9.556015276893698
2022-10-18,28260,28775,26297,27690,8871290,0.5519645580652189
2022-10-19,27461,29539,27423,28415,8137183,2.6182737450343083
2022-10-20,28507,28870,27326,27918,4244186,-1.7490761921520321
2022-10-21,27918,29253,27633,28015,4705368,0.34744609212694316
2022-10-24,28985,29061,27803,28262,2667646,0.8816705336426913
2022-10-25,28490,29233,26908,27252,5623207,-3.573703205717925
2022-10-26,27460,27822,26908,26985,2592760,-0.9797446059004844
2022-10-27,27289,27689,26660,27252,4309174,0.989438576987215
2022-10-28,27079,27346,26564,26794,3615627,-1.6806105973873477
2022-10-31,26964,27326,26297,27061,2600660,0.9964917518847504
2022-11-01,27211,27478,26583,26889,2757257,-0.6356010494808026
2022-11-02,26927,27137,25021,25651,5657218,-4.604113206143777
2022-11-03,24964,26565,24946,26509,3623216,3.3448988343534367
2022-11-04,26564,27155,25764,26070,3264855,-1.6560413444490552
2022-11-07,26165,26317,25364,26280,2898441,0.805523590333717
2022-11-08,26240,26279,25211,25613,3730589,-2.5380517503805176
2022-11-09,25554,25688,25211,25536,3388176,-0.3006285870456409
2022-11-10,25459,25840,24735,24736,3741114,-3.132832080200501
2022-11-11,25555,26279,25097,25403,5590593,2.696474773609314
2022-11-14,25649,26240,25459,25746,3678628,1.350234224304216
2022-11-15,25974,25974,24888,25327,3397294,-1.627437271809213
2022-11-16,25383,25383,24374,24756,2647509,-2.254510996170095
2022-11-17,24620,25020,24163,24164,1937545,-2.391339473259008
2022-11-18,24163,24620,23725,23840,1732606,-1.3408376096672736
2022-11-21,23820,24069,23401,23555,1707454,-1.195469798657718
2022-11-22,23211,23688,22734,22831,2007814,-3.0736573975801313
2022-11-23,23134,24374,23134,24374,3090292,6.75835486838071
2022-11-24,24792,25059,24621,24984,1929977,2.5026667760728647
2022-11-25,24982,25706,24640,24812,2523333,-0.6884406019852706
2022-11-28,24792,25535,24201,24812,2490571,0.0
2022-11-29,24869,25822,24831,25785,3430672,3.921489601805578
2022-11-30,25783,26870,25574,26680,4112048,3.471010277293
2022-12-01,27041,27346,26641,26966,2892774,1.0719640179910044
2022-12-02,26964,27040,25249,25536,5369268,-5.302974115552918
2022-12-05,25669,25745,24297,24431,2762267,-4.327224310776942
2022-12-06,24030,24335,23649,23669,2143346,-3.118988170766649
2022-12-07,23381,23896,23286,23478,2282415,-0.8069626938189193
2022-12-08,23401,23630,23020,23078,1839581,-1.703722633955192
2022-12-09,23267,23400,21629,21744,4628275,-5.780396914810642
2022-12-12,21724,22314,21438,21572,2671928,-0.7910228108903605
2022-12-13,21742,22429,21248,21515,3616356,-0.264231411088448
2022-12-14,21723,22753,21590,22754,2417805,5.758772949105275
2022-12-15,22506,23305,22315,22678,2453456,-0.33400720752395185
2022-12-16,22048,22486,21857,21954,1931190,-3.1925213863656405
2022-12-19,21762,22200,21286,21820,1580051,-0.6103671312744829
2022-12-20,21780,22352,21647,21972,1668398,0.696608615948671
2022-12-21,22524,22581,22124,22316,1721077,1.5656289823411613
2022-12-22,22392,22619,22125,22392,1562681,0.3405628248790106
2022-12-23,21723,21914,21208,21305,3109803,-4.854412290103608
2022-12-26,21304,21800,21171,21763,1870987,2.149730110302746
2022-12-27,21838,22392,21781,21935,2773322,0.7903322152276799
2022-12-28,21778,21876,20326,20719,4890110,-5.543651698199225
2022-12-29,20719,20915,20150,20209,2281330,-2.461508760075293
2023-01-02,20797,21777,20718,21582,2373642,6.794002672076798
2023-01-03,21484,22386,21287,22367,2117307,3.637290334538041
2023-01-04,21798,22483,21739,22367,1472194,0.0
2023-01-05,22602,22739,21600,21641,1534129,-3.2458532659721913
2023-01-06,21425,21974,21268,21504,1487046,-0.6330576221061873
2023-01-09,21955,21994,21503,21700,1605320,0.9114583333333334
2023-01-10,21797,22150,21385,21405,1938606,-1.359447004608295
2023-01-11,21601,22857,21562,22857,2710046,6.783461807988787
2023-01-12,23112,23131,22602,22759,1439891,-0.42875267970424813
2023-01-13,22798,22955,22425,22563,1287387,-0.8611977679159893
2023-01-16,22680,23308,22503,22857,1630172,1.3030182156628107
2023-01-17,22994,23387,22288,22524,1720170,-1.4568841055256596
2023-01-18,22719,22936,22465,22524,1125459,0.0
2023-01-19,22327,22424,21758,21817,1641105,-3.138874089859705
2023-01-20,21797,22249,21483,22151,940208,1.530916257963973
2023-01-25,22563,23230,22563,23034,1967433,3.9862760146268794
2023-01-26,23328,24505,23034,24447,3219270,6.134410002604844
2023-01-27,24839,24898,24250,24447,1905625,0.0
2023-01-30,24780,25486,24505,24839,2643982,1.6034687282693174
2023-01-31,24093,24348,23346,24093,3605592,-3.003341519384838
2023-02-01,24230,25407,24230,25192,2902784,4.561490889469971
2023-02-02,25603,25898,25388,25702,2300830,2.024452207049857
2023-02-03,25662,27899,25329,26997,6088834,5.038518403237102
2023-02-06,27174,29234,27115,28685,6882690,6.252546579249546
2023-02-07,28881,34943,28841,32550,19838614,13.473941084190344
2023-02-08,32609,34551,32216,33904,12505521,4.159754224270353
2023-02-09,33883,38592,33648,37494,19604144,10.588721094856064
2023-02-10,37886,39044,36238,36886,7888768,-1.621592788179442
2023-02-13,36690,39083,36297,38613,6491119,4.681993168139673
2023-02-14,38985,39142,36846,38691,6606779,0.20200450625437028
2023-02-15,39632,43360,39338,41889,9993732,8.265488098007289
2023-02-16,43262,47480,41692,46892,10905745,11.943469645969108
2023-02-17,44244,46794,42183,43263,13836368,-7.7390599675850895
2023-02-20,42968,46794,42968,46304,10056075,7.029101079444329
2023-02-21,47186,49246,47088,48756,8895306,5.295438838977194
2023-02-22,47480,49442,44832,46598,8469148,-4.426121913200427
2023-02-23,47873,48460,43851,47579,7382240,2.1052405682647324
2023-02-24,48265,49148,46696,47481,4237958,-0.20597322348094746
2023-02-27,46794,55525,46696,54937,10881994,15.703123354605001
2023-02-28,54936,57879,53465,56016,7249170,1.9640679323588837
2023-03-02,56212,60626,53367,53956,9017734,-3.677520708369037
2023-03-03,55819,58763,54544,58763,6097865,8.90911112758544
2023-03-06,61606,62392,58959,60725,7377842,3.3388356618960913
2023-03-07,58957,60037,56015,57291,7457065,-5.655002058460272
2023-03-08,55917,65924,55819,65532,11633909,14.384458291878305
2023-03-09,65139,65433,61214,64158,5788611,-2.0966855887200144
2023-03-10,61706,62589,59253,60529,5712986,-5.656348389912404
2023-03-13,60528,71417,60528,70927,14079262,17.178542516810126
2023-03-14,72791,78480,69651,72791,16916630,2.6280541965683026
2023-03-15,79462,89174,76224,87899,15761783,20.755313156846313
2023-03-16,90743,92706,83778,85937,10777547,-2.232107304975028
2023-03-17,87310,87407,77009,78383,12790652,-8.790160233659542
2023-03-20,72006,80933,68180,79070,13599492,0.8764655601342128
2023-03-21,79069,84857,76715,82405,7616761,4.217781712406729
2023-03-22,85348,90253,83974,88880,8058051,7.857532916691948
2023-03-23,88585,97218,79756,89272,12958258,0.44104410441044106
2023-03-24,94374,94471,85348,89469,7945648,0.22067389551035038
2023-03-27,88683,90449,85053,86133,5704862,-3.728665794856319
2023-03-28,87506,88094,79560,85054,9209177,-1.2527138262918975
2023-03-29,84661,97905,82993,97807,14039905,14.994003809344653
2023-03-30,99867,104183,96727,97807,10059209,0.0
2023-03-31,94765,99278,94373,97807,6267520,0.0
2023-04-03,99671,101633,96336,98004,6025665,0.20141707648736795
2023-04-04,97317,98494,93000,93197,4904528,-4.904901840741195
2023-04-05,92804,102026,92706,101045,8045748,8.420871916477997
2023-04-06,100259,104968,99474,102418,5139849,1.3588005344153595
