,Open,High,Low,Close,Volume,Adj Close
2022-06-30,1287.7099609375,1303.4300537109375,1288.050048828125,1287.7099609375,0.0,1287.7099609375
2022-07-03,1297.8900146484375,1299.7900390625,1292.6700439453125,1297.8900146484375,0.0,1297.8900146484375
2022-07-04,1295.6800537109375,1315.469970703125,1293.300048828125,1295.6800537109375,0.0,1295.6800537109375
2022-07-05,1308.6600341796875,1310.5699462890625,1301.68994140625,1308.6600341796875,0.0,1308.6600341796875
2022-07-06,1304.8499755859375,1308.1400146484375,1296.0899658203125,1304.8499755859375,0.0,1304.8499755859375
2022-07-07,1297.6500244140625,1304.6500244140625,1291.8399658203125,1297.6500244140625,0.0,1297.6500244140625
2022-07-10,1293.7900390625,1314.550048828125,1293.7900390625,1293.7900390625,0.0,1293.7900390625
2022-07-11,1310.8599853515625,1316.219970703125,1302.0899658203125,1310.8599853515625,0.0,1310.8599853515625
2022-07-12,1305.8299560546875,1311.010009765625,1299.3800048828125,1305.8299560546875,0.0,1305.8299560546875
2022-07-13,1304.8499755859375,1327.010009765625,1304.1800537109375,1304.8499755859375,0.0,1304.8499755859375
2022-07-14,1316.1800537109375,1329.1500244140625,1315.800048828125,1316.1800537109375,0.0,1316.1800537109375
2022-07-17,1318.1199951171875,1321.469970703125,1311.0699462890625,1318.1199951171875,0.0,1318.1199951171875
2022-07-18,1318.9100341796875,1319.25,1303.6800537109375,1318.9100341796875,0.0,1318.9100341796875
2022-07-19,1305.5,1313.43994140625,1302.5,1305.5,0.0,1305.5
2022-07-20,1312.8699951171875,1316.4300537109375,1306.030029296875,1312.8699951171875,0.0,1312.8699951171875
2022-07-21,1306.8499755859375,1316.510009765625,1304.22998046875,1306.8499755859375,0.0,1306.8499755859375
2022-07-24,1309.3199462890625,1313.5799560546875,1306.989990234375,1309.3199462890625,0.0,1309.3199462890625
2022-07-25,1310.4000244140625,1312.6099853515625,1305.949951171875,1310.4000244140625,0.0,1310.4000244140625
2022-07-26,1310.9000244140625,1315.530029296875,1308.56005859375,1310.9000244140625,0.0,1310.9000244140625
2022-07-27,1305.949951171875,1309.050048828125,1297.5799560546875,1305.949951171875,0.0,1305.949951171875
2022-07-28,1295.1500244140625,1307.0699462890625,1295.06005859375,1295.1500244140625,0.0,1295.1500244140625
2022-07-31,1302.280029296875,1309.1400146484375,1299.1500244140625,1302.280029296875,0.0,1302.280029296875
2022-08-01,1306.75,1312.739990234375,1304.4000244140625,1306.75,0.0,1306.75
2022-08-02,1314.6300048828125,1313.9100341796875,1306.7099609375,1314.6300048828125,0.0,1314.6300048828125
2022-08-03,1307.3800048828125,1312.06005859375,1303.77001953125,1307.3800048828125,0.0,1307.3800048828125
2022-08-04,1302.0799560546875,1304.4599609375,1292.68994140625,1302.0799560546875,0.0,1302.0799560546875
2022-08-07,1302.739990234375,1306.760009765625,1298.3900146484375,1302.739990234375,0.0,1302.739990234375
2022-08-08,1299.030029296875,1307.4100341796875,1298.760009765625,1299.030029296875,0.0,1299.030029296875
2022-08-09,1307.56005859375,1312.8499755859375,1295.8800048828125,1307.56005859375,0.0,1307.56005859375
2022-08-10,1296.699951171875,1304.8900146484375,1295.949951171875,1296.699951171875,0.0,1296.699951171875
2022-08-11,1306.8299560546875,1306.8299560546875,1298.4100341796875,1306.8299560546875,0.0,1306.8299560546875
2022-08-14,1301.3800048828125,1313.4000244140625,1301.3800048828125,1301.3800048828125,0.0,1301.3800048828125
2022-08-15,1313.1800537109375,1312.8599853515625,1307.510009765625,1313.1800537109375,0.0,1313.1800537109375
2022-08-16,1311.0,1317.3199462890625,1307.77001953125,1311.0,0.0,1311.0
2022-08-17,1314.8299560546875,1327.219970703125,1312.2900390625,1314.8299560546875,0.0,1314.8299560546875
2022-08-18,1326.9100341796875,1338.5899658203125,1323.5699462890625,1326.9100341796875,0.0,1326.9100341796875
2022-08-21,1334.8599853515625,1346.1500244140625,1334.0,1334.8599853515625,0.0,1334.8599853515625
2022-08-22,1343.3599853515625,1346.1300048828125,1334.1700439453125,1343.3599853515625,0.0,1343.3599853515625
2022-08-23,1339.0799560546875,1344.25,1337.1800537109375,1339.0799560546875,0.0,1339.0799560546875
2022-08-24,1340.0,1340.949951171875,1332.8699951171875,1340.0,0.0,1340.0
2022-08-25,1334.43994140625,1337.8199462890625,1327.3499755859375,1334.43994140625,0.0,1334.43994140625
2022-08-28,1341.1800537109375,1351.9599609375,1341.1800537109375,1341.1800537109375,0.0,1341.1800537109375
2022-08-29,1345.72998046875,1352.6400146484375,1342.8900146484375,1345.72998046875,0.0,1345.72998046875
2022-08-30,1350.18994140625,1351.699951171875,1337.4000244140625,1350.18994140625,0.0,1350.18994140625
2022-08-31,1342.260009765625,1358.5799560546875,1340.550048828125,1342.260009765625,0.0,1342.260009765625
2022-09-01,1355.0999755859375,1364.780029296875,1351.81005859375,1355.0999755859375,0.0,1355.0999755859375
