Date,Open,High,Low,Close,Volume,Change
2022-09-15,25917,28432,25840,27728,10559478,0.08257525475344552
2022-09-16,28013,28490,26299,26871,8163594,-0.03090738603577614
2022-09-19,27155,27612,24850,25022,6469575,-0.06881024152431992
2022-09-20,25535,25707,24696,24793,3267633,-0.009151946287267232
2022-09-21,24716,25593,24392,25346,3001421,0.022304682773363504
2022-09-22,25249,26774,25077,26622,4186634,0.05034324942791768
2022-09-23,26487,27079,25154,25498,3795817,-0.04222071970550667
2022-09-26,24487,24926,23630,24012,5147453,-0.05827908071221277
2022-09-27,24260,24527,23021,24527,4971020,0.021447609528568945
2022-09-28,24431,24679,22792,22793,4711204,-0.07069759856484692
2022-09-29,23420,23629,21838,21877,3660208,-0.04018777694906328
2022-09-30,21362,22581,21324,22049,4195890,0.007862138318782241
2022-10-04,22467,22734,21915,22354,2680195,0.013832826885572969
2022-10-05,23039,23268,21477,21649,3160989,-0.031537979779905134
2022-10-06,21838,23287,21820,23231,3244203,0.07307496882073083
2022-10-07,22867,23495,22600,22906,2556079,-0.013989927252378243
2022-10-11,22221,22849,22030,22431,2038970,-0.02073692482319045
2022-10-12,22563,23592,22563,23307,2603178,0.03905309616156205
2022-10-13,23343,23877,22963,23535,2546803,0.009782468786201592
2022-10-14,24258,25459,23877,25136,4015476,0.06802634374336103
2022-10-17,24831,27538,24736,27538,5450928,0.09556015276893692
2022-10-18,28260,28775,26297,27690,8871290,0.005519645580652099
2022-10-19,27461,29539,27423,28415,8137183,0.026182737450343163
2022-10-20,28507,28870,27326,27918,4244186,-0.017490761921520326
2022-10-21,27918,29253,27633,28015,4705368,0.003474460921269351
2022-10-24,28985,29061,27803,28262,2667646,0.008816705336426978
2022-10-25,28490,29233,26908,27252,5623207,-0.03573703205717926
2022-10-26,27460,27822,26908,26985,2592760,-0.009797446059004788
2022-10-27,27289,27689,26660,27252,4309174,0.009894385769872116
2022-10-28,27079,27346,26564,26794,3615627,-0.016806105973873442
2022-10-31,26964,27326,26297,27061,2600660,0.009964917518847427
2022-11-01,27211,27478,26583,26889,2757257,-0.006356010494808051
2022-11-02,26927,27137,25021,25651,5657218,-0.046041132061437784
2022-11-03,24964,26565,24946,26509,3623216,0.03344898834353427
2022-11-04,26564,27155,25764,26070,3264855,-0.01656041344449055
2022-11-07,26165,26317,25364,26280,2898441,0.008055235903337232
2022-11-08,26240,26279,25211,25613,3730589,-0.02538051750380521
2022-11-09,25554,25688,25211,25536,3388176,-0.003006285870456371
2022-11-10,25459,25840,24735,24736,3741114,-0.03132832080200498
2022-11-11,25555,26279,25097,25403,5590593,0.026964747736093253
2022-11-14,25649,26240,25459,25746,3678628,0.013502342243042254
2022-11-15,25974,25974,24888,25327,3397294,-0.016274372718092178
2022-11-16,25383,25383,24374,24756,2647509,-0.022545109961701004
2022-11-17,24620,25020,24163,24164,1937545,-0.023913394732590132
2022-11-18,24163,24620,23725,23840,1732606,-0.01340837609667278
2022-11-21,23820,24069,23401,23555,1707454,-0.011954697986577223
2022-11-22,23211,23688,22734,22831,2007814,-0.030736573975801318
2022-11-23,23134,24374,23134,24374,3090292,0.067583548683807
2022-11-24,24792,25059,24621,24984,1929977,0.025026667760728705
2022-11-25,24982,25706,24640,24812,2523333,-0.00688440601985274
2022-11-28,24792,25535,24201,24812,2490571,0.0
2022-11-29,24869,25822,24831,25785,3430672,0.039214896018055834
2022-11-30,25783,26870,25574,26680,4112048,0.03471010277292996
2022-12-01,27041,27346,26641,26966,2892774,0.010719640179910117
2022-12-02,26964,27040,25249,25536,5369268,-0.053029741155529164
2022-12-05,25669,25745,24297,24431,2762267,-0.04327224310776945
2022-12-06,24030,24335,23649,23669,2143346,-0.031189881707666456
2022-12-07,23381,23896,23286,23478,2282415,-0.008069626938189245
2022-12-08,23401,23630,23020,23078,1839581,-0.01703722633955196
2022-12-09,23267,23400,21629,21744,4628275,-0.05780396914810637
2022-12-12,21724,22314,21438,21572,2671928,-0.007910228108903627
2022-12-13,21742,22429,21248,21515,3616356,-0.0026423141108844472
2022-12-14,21723,22753,21590,22754,2417805,0.05758772949105273
2022-12-15,22506,23305,22315,22678,2453456,-0.003340072075239564
2022-12-16,22048,22486,21857,21954,1931190,-0.03192521386365643
2022-12-19,21762,22200,21286,21820,1580051,-0.006103671312744807
2022-12-20,21780,22352,21647,21972,1668398,0.006966086159486684
2022-12-21,22524,22581,22124,22316,1721077,0.015656289823411607
2022-12-22,22392,22619,22125,22392,1562681,0.0034056282487902045
2022-12-23,21723,21914,21208,21305,3109803,-0.048544122901036046
2022-12-26,21304,21800,21171,21763,1870987,0.0214973011030275
2022-12-27,21838,22392,21781,21935,2773322,0.007903322152276848
2022-12-28,21778,21876,20326,20719,4890110,-0.055436516981992257
2022-12-29,20719,20915,20150,20209,2281330,-0.024615087600752927
2023-01-02,20797,21777,20718,21582,2373642,0.06794002672076793
2023-01-03,21484,22386,21287,22367,2117307,0.03637290334538035
2023-01-04,21798,22483,21739,22367,1472194,0.0
2023-01-05,22602,22739,21600,21641,1534129,-0.03245853265972187
2023-01-06,21425,21974,21268,21504,1487046,-0.006330576221061923
2023-01-09,21955,21994,21503,21700,1605320,0.00911458333333326
2023-01-10,21797,22150,21385,21405,1938606,-0.01359447004608294
2023-01-11,21601,22857,21562,22857,2710046,0.06783461807988789
2023-01-12,23112,23131,22602,22759,1439891,-0.0042875267970424735
2023-01-13,22798,22955,22425,22563,1287387,-0.008611977679159888
2023-01-16,22680,23308,22503,22857,1630172,0.0130301821566281
2023-01-17,22994,23387,22288,22524,1720170,-0.014568841055256576
2023-01-18,22719,22936,22465,22524,1125459,0.0
2023-01-19,22327,22424,21758,21817,1641105,-0.031388740898597
2023-01-20,21797,22249,21483,22151,940208,0.015309162579639768
2023-01-25,22563,23230,22563,23034,1967433,0.03986276014626888
2023-01-26,23328,24505,23034,24447,3219270,0.0613441000260484
2023-01-27,24839,24898,24250,24447,1905625,0.0
2023-01-30,24780,25486,24505,24839,2643982,0.016034687282693083
2023-01-31,24093,24348,23346,24093,3605592,-0.03003341519384839
2023-02-01,24230,25407,24230,25192,2902784,0.04561490889469977
2023-02-02,25603,25898,25388,25702,2300830,0.02024452207049854
2023-02-03,25662,27899,25329,26997,6088834,0.05038518403237102
2023-02-06,27174,29234,27115,28685,6882690,0.0625254657924954
2023-02-07,28881,34943,28841,32550,19838614,0.13473941084190333
2023-02-08,32609,34551,32216,33904,12505521,0.04159754224270351
2023-02-09,33883,38592,33648,37494,19604144,0.10588721094856068
2023-02-10,37886,39044,36238,36886,7888768,-0.01621592788179438
2023-02-13,36690,39083,36297,38613,6491119,0.04681993168139664
2023-02-14,38985,39142,36846,38691,6606779,0.0020200450625436073
2023-02-15,39632,43360,39338,41889,9993732,0.0826548809800729
2023-02-16,43262,47480,41692,46892,10905745,0.11943469645969107
2023-02-17,44244,46794,42183,43263,13836368,-0.07739059967585094
2023-02-20,42968,46794,42968,46304,10056075,0.07029101079444322
2023-02-21,47186,49246,47088,48756,8895306,0.052954388389771845
2023-02-22,47480,49442,44832,46598,8469148,-0.044261219132004315
2023-02-23,47873,48460,43851,47579,7382240,0.021052405682647324
2023-02-24,48265,49148,46696,47481,4237958,-0.002059732234809486
2023-02-27,46794,55525,46696,54937,10881994,0.15703123354604998
2023-02-28,54936,57879,53465,56016,7249170,0.019640679323588817
2023-03-02,56212,60626,53367,53956,9017734,-0.03677520708369042
2023-03-03,55819,58763,54544,58763,6097865,0.08909111127585434
2023-03-06,61606,62392,58959,60725,7377842,0.033388356618961
2023-03-07,58957,60037,56015,57291,7457065,-0.05655002058460268
2023-03-08,55917,65924,55819,65532,11633909,0.1438445829187831
2023-03-09,65139,65433,61214,64158,5788611,-0.020966855887200153
2023-03-10,61706,62589,59253,60529,5712986,-0.05656348389912402
2023-03-13,60528,71417,60528,70927,14079262,0.17178542516810125
2023-03-14,72791,78480,69651,72791,16916630,0.02628054196568308
2023-03-15,79462,89174,76224,87899,15761783,0.2075531315684631
2023-03-16,90743,92706,83778,85937,10777547,-0.022321073049750284
2023-03-17,87310,87407,77009,78383,12790652,-0.08790160233659539
2023-03-20,72006,80933,68180,79070,13599492,0.008764655601342097
2023-03-21,79069,84857,76715,82405,7616761,0.04217781712406721
2023-03-22,85348,90253,83974,88880,8058051,0.07857532916691956
2023-03-23,88585,97218,79756,89272,12958258,0.004410441044104374
2023-03-24,94374,94471,85348,89469,7945648,0.002206738955103482
2023-03-27,88683,90449,85053,86133,5704862,-0.03728665794856323
2023-03-28,87506,88094,79560,85054,9209177,-0.012527138262918958
2023-03-29,84661,97905,82993,97807,14039905,0.14994003809344658
2023-03-30,99867,104183,96727,97807,10059209,0.0
2023-03-31,94765,99278,94373,97807,6267520,0.0
2023-04-03,99671,101633,96336,98004,6025665,0.0020141707648737572
2023-04-04,97317,98494,93000,93197,4904528,-0.04904901840741194
2023-04-05,92804,102026,92706,101045,8045748,0.08420871916478001
2023-04-06,100259,104968,99474,102418,5139849,0.013588005344153498
2023-04-07,103007,113602,100260,113602,10688701,0.10919955476576382
2023-04-10,115956,145975,114975,141659,18046763,0.24697628562877405
2023-04-11,148134,160887,137342,150881,16644185,0.06509999364671493
2023-04-12,143620,148525,125177,125570,15863784,-0.1677547206076312
