Date,Open,High,Low,Close,Volume,Change
2024-03-15,117721,118114,116740,117918,810680,-0.013139394750937283
2024-03-18,117721,121057,117721,120665,900525,0.023295849658237167
2024-03-19,121842,122038,118113,119880,838309,-0.00650561471843536
2024-03-20,119880,121646,118703,119096,602963,-0.006539873206539926
2024-03-21,120273,122627,120076,121058,1220181,0.016474104923758892
2024-03-22,120861,126551,120272,123216,1558074,0.01782616597003095
2024-03-25,123804,127532,122822,125963,1594949,0.022294182573691756
2024-03-26,127335,127335,124981,126551,1059660,0.004668037439565564
2024-03-27,127728,132829,127139,132241,2667127,0.04496211013741491
2024-03-28,133418,133418,128513,129102,1524981,-0.02373696508647094
2024-03-29,126943,127728,123608,124197,1433770,-0.037993214667472186
